BSB,CGH,1001
BSB,GIG,931
BSB,MAO,2993
BSB,POA,1834
BSB,VCP,1029
BSB,VIX,1027
CGH,BSB,1001
CGH,GRU,24
CNF,BSB,624
CNF,MAO,3485
CNF,VCP,557
FOR,BSB,3017
FOR,GRU,2947
GIG,BSB,931
GIG,GRU,345
GRU,CGH,24
GRU,GIG,345
GRU,MAO,3583
GRU,POA,873
GRU,SSA,1743
GRU,VCP,82
GRU,VIX,615
MAO,BSB,2993
MAO,CNF,3485
MAO,GRU,3583
MAO,SSA,3426
MAO,VCP,3474
MAO,VIX,2140
POA,BSB,1834
POA,GRU,873
REC,CGH,2012
REC,VCP,2212
SSA,GRU,1743
SSA,MAO,3426
SSA,VCP,2132
VCP,BSB,1029
VCP,CNF,557
VCP,GRU,82
VCP,MAO,3474
VCP,REC,2212
VCP,VIX,441
VIX,BSB,1027
VIX,GRU,615
VIX,VCP,441
CWB,BSB,1000
CWB,VCP,89
